COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"JAPAN","???","??????·??·??","ISR54779","2.1",6/30/2019 10:37:13 AM,"NO","NO","YES"
"CHINA","???","?????????","ISR51719","2.1",6/30/2019 10:07:04 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR62797","1.3",6/30/2019 8:09:26 PM,"NO","NO","YES"
"USA","OXNARD","ST JOHNS REGIONAL MEDI","ISR60541","2.1",6/30/2019 5:50:06 AM,"YES","NO","NO"
"THAILAND","AYUTAYA","PRANAKORNSRI AYUTTHAYA","ISR06283","1.2",6/30/2019 5:02:15 AM,"YES","NO","NO"
"JAPAN","????","????","I1SR03557","1.3",6/30/2019 3:18:03 PM,"NO","NO","YES"
"CHINA","???","?????????????","ISR52705","2.1",6/30/2019 2:08:13 AM,"NO","NO","YES"
"JAPAN","???","?????? ????????????","ISR63110","2.1",6/30/2019 1:49:03 PM,"NO","NO","YES"
"CHINA","???","????????","ISR07416","2.1",6/30/2019 10:51:12 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR03708","2.1",6/30/2019 9:24:53 AM,"NO","NO","YES"
